id,modify_timestamp,database_name,orig_id,orig_table,type,value1,value2,value3,value4,value5,date_value,client,env,create_timestamp,entry_timestamp,updated_timestamp
3102,2015-05-27 15:43:21.207000000,CCCN_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.6.3,Source control revision for core repository,5,,,2015-05-27 15:43:21.207000000,CCCN,PRD,2015-05-27 15:43:21.207000000,2015-08-22 10:55:48.473000000,2015-08-22 10:56:18.253000000
3103,2015-08-13 16:01:38.933000000,CHPW_WAREHOUSE_PRD,3,dbo.config,ScmRevision,8c7f066d82420870bea09d593fcf6668646f099c,The build version (ie. 4791),,,,2015-08-13 16:01:38.933000000,CHPW,PRD,2015-08-13 16:01:38.933000000,2015-08-22 10:55:48.777000000,2015-08-22 10:56:18.253000000
3104,2015-07-14 10:49:44.923000000,CHPW_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.6.6,Source control revision for core repository,8,,,2015-07-14 10:49:44.923000000,CHPW,PRD,2015-07-14 10:49:44.923000000,2015-08-22 10:55:48.777000000,2015-08-22 10:56:18.253000000
3105,2015-08-17 19:47:49.533000000,SLVTN_WAREHOUSE_DEV,3,dbo.config,ScmRevision,279ac0ec30491b068c4f28d8235d64e059b19830,The build version (ie. 4791),,,,2015-08-17 19:47:49.533000000,SLVTN,DEV,2015-08-17 19:47:49.533000000,2015-08-22 10:55:54.023000000,2015-08-22 10:56:18.253000000
3106,2015-08-06 10:56:10.260000000,SLVTN_WAREHOUSE_DEV,26,dbo.config,coreRevision,v4.7.1,Source control revision for core repository,11,,,2015-08-06 10:56:10.260000000,SLVTN,DEV,2015-08-06 10:56:10.260000000,2015-08-22 10:55:54.023000000,2015-08-22 10:56:18.253000000
3107,2015-08-19 20:09:21.333000000,CHPW_WAREHOUSE_DEV,3,dbo.config,ScmRevision,c17c92c7101e3c9490f3b8b54ec7980988cc6282,The build version (ie. 4791),,,,2015-08-19 20:09:21.333000000,CHPW,DEV,2015-08-19 20:09:21.333000000,2015-08-22 10:55:54.373000000,2015-08-22 10:56:18.253000000
3108,2015-08-13 10:52:14.253000000,CHPW_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.7.2,Source control revision for core repository,12,,,2015-08-13 10:52:14.253000000,CHPW,DEV,2015-08-13 10:52:14.253000000,2015-08-22 10:55:54.373000000,2015-08-22 10:56:18.253000000
3109,2015-08-18 16:07:41.797000000,CCCN_WAREHOUSE_DEV,3,dbo.config,ScmRevision,1fb95447a91e3c345251d87d5be2a1aed17c769f,Client Repository SHA commit,,,,2015-08-18 16:07:41.797000000,CCCN,DEV,2015-08-18 16:07:41.797000000,2015-08-22 10:56:00.543000000,2015-08-22 10:56:18.253000000
3110,2015-08-13 20:16:03.447000000,CCCN_WAREHOUSE_DEV,26,dbo.config,coreRevision,v4.8.0-rc.9,Branch name (tag) for core repository,14,,,2015-08-13 20:16:03.447000000,CCCN,DEV,2015-08-13 20:16:03.447000000,2015-08-22 10:56:00.543000000,2015-08-22 10:56:18.253000000
3111,2015-08-15 19:51:59.990000000,CHPW_WAREHOUSE_QA,3,dbo.config,ScmRevision,8c7f066d82420870bea09d593fcf6668646f099c,The build version (ie. 4791),,,,2015-08-15 19:51:59.990000000,CHPW,QA,2015-08-15 19:51:59.990000000,2015-08-22 10:56:00.710000000,2015-08-22 10:56:18.253000000
