town,pop2010,b,k,mcd,p,t,we,Total,ff_per_pop,obese1,obese2,obese3,avg_obese,ff_per_cap_rank,obesity_rank,avg_ma_obese,per_cap_income
NORWELL,10506,0,1,1,0,1,0,3,0.285551113649343,0.27791714,0.201,0.2525,0.243805713,15,175,0.244,48205
LUDLOW,21103,1,0,6,0,0,1,8,0.37909301994977,0.27044025,0.217,0,0.243720125,7,176,0.244,31117
WEST SPRINGFIELD,28391,1,1,2,1,1,1,7,0.246557007502378,0.27044025,0.217,0,0.243720125,22,177,0.244,27853
HOLYOKE,39880,1,1,3,0,0,1,6,0.150451354062187,0.27044025,0.217,0,0.243720125,54,178,0.244,19968
EAST LONGMEADOW,15720,0,1,0,0,0,0,1,0.0636132315521628,0.27044025,0.217,0,0.243720125,128,179,0.244,36171
WESTFIELD,41094,1,1,2,0,0,1,5,0.121672263590792,0.27044025,0.217,0,0.243720125,79,180,0.244,28000
CHICOPEE,55298,0,1,3,0,1,1,6,0.108503020000723,0.27044025,0.217,0,0.243720125,89,181,0.244,24810
SOUTHWICK,9502,0,0,1,0,0,0,1,0.105241001894338,0.27044025,0.217,0,0.243720125,91,182,0.244,35587
AGAWAM,28438,0,0,1,0,0,0,1,0.0351642168928898,0.27044025,0.217,0,0.243720125,146,183,0.244,29857
GRANVILLE,1566,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,184,0.244,30474
MONSON,8560,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,185,0.244,31805
HAMPDEN,5139,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,186,0.244,35736
WILBRAHAM,14219,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,187,0.244,38682
RUSSELL,1775,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,188,0.244,29525
TOLLAND,485,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,189,0.244,39806
WALES,1838,0,0,0,0,0,0,0,0,0.27044025,0.217,0,0.243720125,0,190,0.244,30582
FOXBOROUGH,16865,0,0,0,0,0,0,0,0,0.27791714,0.154,0.299,0.243639047,0,191,0.244,42801
ASHFIELD,1737,0,0,0,0,0,0,0,0,0.30232558,0.1845,0,0.24341279,0,192,0.244,34716
SCITUATE,18133,0,0,0,0,0,0,0,0,0.27791714,0.201,0.25,0.24297238,0,193,0.244,49146
BOLTON,4897,0,0,0,0,0,0,0,0,0.25391395,0.219,0.2539,0.242271317,0,194,0.244,55369
CANTON,21561,0,0,1,0,0,0,1,0.0463800380316312,0.27791714,0.154,0.2931,0.24167238,143,195,0.244,46086
MAYNARD,10106,0,0,1,0,0,1,2,0.19790223629527,0.25391395,0.155,0.3161,0.241671317,37,196,0.244,39447
WESTBOROUGH,18272,1,0,5,0,0,1,7,0.383099824868651,0.27577536,0.219,0.229,0.241258453,6,197,0.244,45929
WORCESTER,181045,5,1,8,1,2,6,23,0.127040238614709,0.28638498,0.219,0.21524,0.240208327,69,198,0.244,24330
HUDSON,19063,1,1,1,0,1,0,4,0.209830561821329,0.25391395,0.187,0.2794,0.24010465,33,199,0.244,35713
BLANDFORD,1233,0,0,2,0,0,0,2,1.6220600162206,0.27044025,0.2075,0,0.238970125,1,200,0.244,32651
READING,24747,1,0,1,0,0,0,2,0.0808178769143735,0.35086038,0.155,0.2103,0.238720127,115,201,0.244,47173
NORTHBOROUGH,14155,0,0,0,0,0,0,0,0,0.27577536,0.187,0.25,0.237591787,0,202,0.244,43878
FRANKLIN,31635,1,1,1,1,1,0,5,0.158052789631737,0.27791714,0.154,0.2789,0.236939047,51,203,0.244,41946
FALMOUTH,31531,1,0,1,0,0,0,2,0.0634296406710856,0.33785311,0.15,0.2227,0.236851037,129,204,0.244,39545
GRAFTON,17765,1,0,0,0,0,0,1,0.056290458767239,0.27577536,0.219,0.2142,0.23632512,137,205,0.244,39887
WRENTHAM,10955,0,0,0,0,0,0,0,0,0.27791714,0.154,0.2762,0.236039047,0,206,0.244,45019
WALPOLE,24070,0,0,1,0,1,0,2,0.0830909846281678,0.27791714,0.154,0.2722,0.234705713,114,207,0.244,42869
HARWICH,12243,0,0,0,0,0,0,0,0,0.28409091,0.15,0.2693,0.234463637,0,208,0.244,34459
DENNIS,14207,1,0,0,1,0,0,2,0.140775673963539,0.28409091,0.15,0.2685,0.23419697,60,209,0.244,32843
MIDDLETON,8987,0,0,1,0,0,0,1,0.11127183709803,0.24896457,0.187,0.2666,0.23418819,88,210,0.244,39115
CHELSEA,35177,1,0,2,0,0,0,3,0.0852829974130824,0.27027027,0.1665,0.2646,0.23379009,112,211,0.244,20617
EVERETT,41667,0,1,1,1,2,1,6,0.143998848009216,0.27027027,0.155,0.275,0.233423423,59,212,0.244,23410
REVERE,51755,1,1,1,1,1,1,6,0.11593082793933,0.27027027,0.17333333,0.2552,0.232934533,82,213,0.244,26092
FRAMINGHAM,68318,2,2,8,0,1,0,13,0.190286600895811,0.25391395,0.155,0.28975,0.232887983,38,214,0.244,33695
MARLBOROUGH,38499,2,0,2,1,0,1,6,0.155848203849451,0.25391395,0.155,0.2883,0.23240465,53,215,0.244,35335
SALEM,41340,2,1,2,1,1,2,9,0.217706821480406,0.24896457,0.187,0.2612,0.23238819,30,216,0.244,31385
NORTH ADAMS,13708,1,0,1,0,0,0,2,0.145900204260286,0.25,0.213,0,0.2315,58,217,0.244,21263
CLARKSBURG,1702,0,0,0,0,0,0,0,0,0.25,0.213,0,0.2315,0,218,0.244,28274
FLORIDA,752,0,0,0,0,0,0,0,0,0.25,0.213,0,0.2315,0,219,0.244,26852
BRAINTREE,35744,1,0,2,0,0,0,3,0.0839301700984781,0.27027027,0.154,0.2689,0.231056757,113,220,0.244,36351
MONTGOMERY,838,0,0,0,0,0,0,0,0,0.27044025,0.19166666,0,0.231053455,0,221,0.244,36894
MILTON,27003,0,0,0,0,0,0,0,0,0.27027027,0.166,0.2567,0.23099009,0,222,0.244,46166
NANTUCKET,10172,0,0,0,0,0,0,0,0,0.33785311,0.124,0.2307,0.230851037,0,223,0.244,47331
PEABODY,51251,1,1,2,0,1,1,6,0.117070886421728,0.24896457,0.187,0.2541,0.230021523,81,224,0.244,34367
PROVINCETOWN,2942,0,0,0,0,0,0,0,0,0.28409091,0.15,0.2522,0.228763637,0,225,0.244,45204
WASHINGTON,538,0,0,0,0,0,0,0,0,0.25,0.2075,0,0.22875,0,226,0.244,35641
BECKET,1779,0,0,0,0,0,0,0,0,0.25,0.2075,0,0.22875,0,227,0.244,37726
NEWBURYPORT,17416,0,0,1,0,0,1,2,0.114836931557189,0.24896457,0.187,0.24995,0.22863819,83,228,0.244,46124
MEDWAY,12752,1,0,1,0,0,0,2,0.156838143036386,0.27791714,0.154,0.2522,0.228039047,52,229,0.244,43335
CHESTER,1337,0,0,0,0,0,0,0,0,0.27044025,0.18533333,0,0.22788679,0,230,0.244,26415
HINGHAM,22157,0,0,0,0,0,0,0,0,0.27791714,0.1775,0.2273,0.22757238,0,231,0.244,60770
WILLIAMSBURG,2482,0,0,0,0,0,0,0,0,0.27044025,0.1845,0,0.227470125,0,232,0.244,35721
PLAINFIELD,648,0,0,0,0,0,0,0,0,0.27044025,0.1845,0,0.227470125,0,233,0.244,30907
TOPSFIELD,6085,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2463,0.227421523,0,234,0.244,56488
ROWLEY,5856,0,0,1,0,0,0,1,0.170765027322404,0.24896457,0.187,0.246,0.227321523,47,235,0.244,38324
GLOUCESTER,28789,0,0,1,0,0,0,1,0.0347354892493661,0.24896457,0.187,0.2416,0.225854857,147,236,0.244,35928
LYNNFIELD,11596,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2397,0.225221523,0,237,0.244,46659
WARE,9872,0,0,1,0,0,0,1,0.10129659643436,0.27044025,0.18,0,0.225220125,95,238,0.244,27894
NORFOLK,11227,0,0,0,0,0,0,0,0,0.27791714,0.154,0.2423,0.224739047,0,239,0.244,43151
HUNTINGTON,2180,0,0,0,0,0,0,0,0,0.27044025,0.179,0,0.224720125,0,240,0.244,27331
PALMER,12140,0,1,1,0,0,1,3,0.247116968698517,0.27044025,0.179,0,0.224720125,21,241,0.244,25993
SOUTHAMPTON,5792,0,0,0,0,0,0,0,0,0.27044025,0.179,0,0.224720125,0,242,0.244,34196
NAHANT,3410,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2368,0.224254857,0,243,0.244,45464
MOUNT WASHINGTON,167,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,244,0.244,49247
MONTEREY,961,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,245,0.244,37498
OTIS,1612,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,246,0.244,34746
NEW MARLBOROUGH,1509,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,247,0.244,35479
HANCOCK,717,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,248,0.244,31535
LANESBOROUGH,3091,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,249,0.244,34375
NEW ASHFORD,228,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,250,0.244,39527
LENOX,5025,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,251,0.244,36094
CHESHIRE,3235,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,252,0.244,28769
ALFORD,494,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,253,0.244,55322
DALTON,6756,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,254,0.244,27938
GREAT BARRINGTON,7104,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,255,0.244,32963
EGREMONT,1225,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,256,0.244,40308
LEE,5943,0,0,3,1,0,0,4,0.673060743732122,0.25,0.198,0,0.224,3,257,0.244,33018
PITTSFIELD,44737,3,1,4,2,1,1,12,0.268234347408186,0.25,0.198,0,0.224,17,258,0.244,26304
ADAMS,8485,0,0,1,0,0,0,1,0.117855038302887,0.25,0.198,0,0.224,80,259,0.244,24686
SAVOY,692,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,260,0.244,28533
RICHMOND,1475,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,261,0.244,53209
STOCKBRIDGE,1947,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,262,0.244,38355
TYRINGHAM,327,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,263,0.244,50351
WILLIAMSTOWN,7754,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,264,0.244,33706
WINDSOR,899,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,265,0.244,33975
WEST STOCKBRIDGE,1306,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,266,0.244,37118
SANDISFIELD,915,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,267,0.244,29539
SHEFFIELD,3257,0,0,0,0,0,0,0,0,0.25,0.198,0,0.224,0,268,0.244,34779
NEWBURY,6666,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2311,0.222354857,0,269,0.244,41891
GOSNOLD,75,0,0,0,0,0,0,0,0,0.3431127,0.099,0,0.22105635,0,270,0.244,25741
STOW,6590,0,0,0,0,0,0,0,0,0.25391395,0.155,0.2533,0.220737983,0,271,0.244,47880
TISBURY,3949,0,0,0,0,0,0,0,0,0.33785311,0.099,0.225,0.220617703,0,272,0.244,30955
WEST TISBURY,2740,0,0,0,0,0,0,0,0,0.33785311,0.099,0.225,0.220617703,0,273,0.244,30136
SAUGUS,26628,3,1,2,0,1,0,7,0.262881177707676,0.24896457,0.17333333,0.2392,0.2204993,18,274,0.244,34350
SWAMPSCOTT,13787,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2253,0.220421523,0,275,0.244,48611
SOUTHBOROUGH,9767,0,0,0,0,0,1,1,0.102385584109757,0.25391395,0.219,0.1877,0.22020465,94,276,0.244,62663
CUMMINGTON,872,0,0,0,0,0,0,0,0,0.27044025,0.1695,0,0.219970125,0,277,0.244,31648
WORTHINGTON,1156,0,0,0,0,0,0,0,0,0.27044025,0.1695,0,0.219970125,0,278,0.244,34898
BREWSTER,9820,0,0,0,0,0,0,0,0,0.28409091,0.15,0.2249,0.219663637,0,279,0.244,35564
STONEHAM,21437,1,0,0,0,0,0,1,0.0466483183281243,0.27027027,0.155,0.2332,0.21949009,142,280,0.244,38561
ORLEANS,5890,0,0,0,0,0,1,1,0.169779286926995,0.28409091,0.15,0.2238,0.21929697,48,281,0.244,41573
SHARON,17612,0,0,0,0,0,0,0,0,0.27791714,0.154,0.2259,0.21927238,0,282,0.244,53227
ASHLAND,16593,0,0,1,0,0,0,1,0.0602663773880552,0.25391395,0.155,0.2482,0.219037983,132,283,0.244,45834
EASTHAM,4956,0,0,0,0,0,0,0,0,0.28409091,0.15,0.2213,0.218463637,0,284,0.244,36328
AQUINNAH,311,0,0,0,0,0,0,0,0,0.33785311,0.099,0,0.218426555,0,285,0.244,39414
CHILMARK,866,0,0,0,0,0,0,0,0,0.33785311,0.099,0,0.218426555,0,286,0.244,44195
OAK BLUFFS,4527,0,0,0,0,0,0,0,0,0.33785311,0.099,0,0.218426555,0,287,0.244,30190
BEVERLY,39502,2,0,2,1,0,0,5,0.126575869576224,0.24896457,0.187,0.2183,0.21808819,71,288,0.244,37554
ESSEX,3504,0,0,0,0,0,0,0,0,0.24896457,0.187,0,0.217982285,0,289,0.244,42259
WENHAM,4875,0,0,0,0,0,0,0,0,0.24896457,0.187,0,0.217982285,0,290,0.244,46255
BEDFORD,13320,1,0,1,0,0,0,2,0.15015015015015,0.25391395,0.155,0.238,0.215637983,56,291,0.244,48725
CHARLTON,12981,0,0,3,0,0,0,3,0.231107002542177,0.27577536,0.219,0.1515,0.21542512,24,292,0.244,35678
MELROSE,26983,0,0,0,0,0,0,0,0,0.27027027,0.171,0.2027,0.214656757,0,293,0.244,42361
WINCHESTER,21374,1,0,0,0,0,0,1,0.0467858145410312,0.35086038,0.155,0.1377,0.214520127,141,294,0.244,70876
HOLLISTON,13547,0,0,0,0,0,0,0,0,0.25391395,0.155,0.2342,0.214371317,0,295,0.244,46206
NATICK,33006,0,0,6,1,0,2,9,0.272677694964552,0.25391395,0.155,0.2336,0.214171317,16,296,0.244,50118
IPSWICH,13175,0,0,0,0,0,0,0,0,0.24896457,0.187,0.2051,0.21368819,0,297,0.244,43021
WESTWOOD,14618,0,0,0,0,0,0,0,0,0.27791714,0.154,0.2084,0.213439047,0,298,0.244,62949
HOPKINTON,14925,0,0,0,0,0,0,0,0,0.25391395,0.155,0.2309,0.213271317,0,299,0.244,56899
BOXFORD,7965,0,0,0,0,0,0,0,0,0.24896457,0.187,0.199,0.211654857,0,300,0.244,69734
TRURO,2003,0,0,0,0,0,0,0,0,0.28409091,0.15,0.199,0.211030303,0,301,0.244,39472
PERU,847,0,0,0,0,0,0,0,0,0.25,0.1695,0,0.20975,0,302,0.244,26436
HINSDALE,2032,0,0,0,0,0,0,0,0,0.25,0.1695,0,0.20975,0,303,0.244,28948
COHASSET,7542,0,0,0,0,0,0,0,0,0.27791714,0.154,0.1952,0.209039047,0,304,0.244,61267
ROCKPORT,6952,0,0,0,0,0,0,0,0,0.24896457,0.187,0.1904,0.20878819,0,305,0.244,41762
CHATHAM,6125,0,0,0,0,0,0,0,0,0.28409091,0.15,0.1917,0.20859697,0,306,0.244,45078
DOVER,5589,0,0,0,0,0,0,0,0,0.27791714,0.1545,0.1858,0.20607238,0,307,0.244,89476
MEDFIELD,12024,0,0,0,0,0,0,0,0,0.27791714,0.154,0.1855,0.205805713,0,308,0.244,62076
HATFIELD,3279,0,0,0,0,0,0,0,0,0.27044025,0.141,0,0.205720125,0,309,0.244,35751
