id,modify_timestamp,database_name,orig_id,orig_table,type,value1,value2,value3,value4,value5,date_value,client,env,create_timestamp,entry_timestamp,updated_timestamp
11142,2015-10-29 14:04:05.857000000,FHN_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.8.2,Branch name (tag) for core repository,9,,,2015-10-29 14:04:05.857000000,FHN,PRD,2015-10-29 14:04:05.857000000,2015-10-29 14:21:13.700000000,2015-11-10 15:15:13.230000000
11143,2015-10-20 14:10:44.420000000,FHN_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.8.2,Branch name (tag) for core repository,9,,,2015-10-20 14:10:44.420000000,FHN,QA,2015-10-20 14:10:44.420000000,2015-10-29 14:22:25.223000000,2015-11-10 15:15:13.230000000
11144,2015-10-23 14:17:30.150000000,FHN_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.8.2,Branch name (tag) for core repository,9,,,2015-10-23 14:17:30.150000000,FHN,UAT,2015-10-23 14:17:30.150000000,2015-10-29 14:21:05.370000000,2015-11-10 15:15:13.230000000
11145,2015-10-08 16:37:56.953000000,VCA_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.8.2,Branch name (tag) for core repository,9,,,2015-10-08 16:37:56.953000000,VCA,QA,2015-10-08 16:37:56.953000000,2015-10-12 10:41:40.550000000,2015-11-10 15:15:13.230000000
11146,2015-11-03 17:15:22.550000000,AHP_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.9.0-rc.1,Branch name (tag) for core repository,10,,,2015-11-03 17:15:22.550000000,AHP,QA,2015-11-03 17:15:22.550000000,2015-11-09 11:57:57.547000000,2015-11-10 15:15:13.230000000
11147,2015-11-03 18:58:57.423000000,CHPW_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.9.0-rc.1,Branch name (tag) for core repository,10,,,2015-11-03 18:58:57.423000000,CHPW,DEV,2015-11-03 18:58:57.423000000,2015-11-09 11:57:07.907000000,2015-11-10 15:15:13.230000000
11148,2015-11-03 18:44:38.497000000,FHN_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.9.0-rc.1,Branch name (tag) for core repository,10,,,2015-11-03 18:44:38.497000000,FHN,DEV,2015-11-03 18:44:38.497000000,2015-11-09 11:57:29.380000000,2015-11-10 15:15:13.230000000
11149,2015-11-04 12:36:48.900000000,VCA_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.9.0-rc.1,Branch name (tag) for core repository,10,,,2015-11-04 12:36:48.900000000,VCA,DEV,2015-11-04 12:36:48.900000000,2015-11-09 11:57:41.663000000,2015-11-10 15:15:13.230000000
11150,2015-11-06 14:16:09.930000000,XCLS_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.9.0-rc.1,Branch name (tag) for core repository,10,,,2015-11-06 14:16:09.930000000,XCLS,QA,2015-11-06 14:16:09.930000000,2015-11-09 11:58:19.160000000,2015-11-10 15:15:13.230000000
11151,2015-02-23 17:25:05.190000000,FDLS_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.5.2-rc.2,Source control revision for core repository,1,,,2015-02-23 17:25:05.190000000,FDLS,PRD,2015-02-23 17:25:05.190000000,2015-08-06 10:40:12.713000000,2015-11-10 15:15:13.230000000
11152,2015-02-19 16:39:39.320000000,FDLS_WAREHOUSE_UAT,4,dbo.config,coreRevision,v4.5.2-rc.2,Source control revision for core repository,1,,,2015-02-19 16:39:39.320000000,FDLS,UAT,2015-02-19 16:39:39.320000000,2015-08-06 10:40:04.993000000,2015-11-10 15:15:13.230000000
11153,2015-03-06 15:06:11.763000000,FDLS_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.5.5-rc.1,Source control revision for core repository,2,,,2015-03-06 15:06:11.763000000,FDLS,DEV,2015-03-06 15:06:11.763000000,2015-08-06 10:40:25.290000000,2015-11-10 15:15:13.230000000
11154,2015-03-02 18:17:34.153000000,FDLS_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.5.5-rc.1,Source control revision for core repository,2,,,2015-03-02 18:17:34.153000000,FDLS,QA,2015-03-02 18:17:34.153000000,2015-08-06 10:40:31.030000000,2015-11-10 15:15:13.230000000
11155,2015-05-27 15:43:21.207000000,CCCN_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.6.3,Source control revision for core repository,3,,,2015-05-27 15:43:21.207000000,CCCN,PRD,2015-05-27 15:43:21.207000000,2015-08-06 10:40:16.760000000,2015-11-10 15:15:13.230000000
11156,2015-07-22 14:35:18.987000000,UCF_WAREHOUSE_PRD,4,dbo.config,coreRevision,v4.7.0-rc.8,Source control revision for core repository,4,,,2015-07-22 14:35:18.987000000,UCF,PRD,2015-07-22 14:35:18.987000000,2015-08-06 10:40:14.277000000,2015-11-10 15:15:13.230000000
11157,2015-08-04 16:53:58.467000000,ONPT_WAREHOUSE_DEV,25,dbo.config,coreRevision,v4.7.1,Source control revision for core repository,5,,,2015-08-04 16:53:58.467000000,ONPT,DEV,2015-08-04 16:53:58.467000000,2015-08-06 10:40:26.063000000,2015-11-10 15:15:13.230000000
11158,2015-09-24 14:13:37.187000000,UCF_WAREHOUSE_DEV,4,dbo.config,coreRevision,v4.7.7,Source control revision for core repository,6,,,2015-09-24 14:13:37.187000000,UCF,DEV,2015-09-24 14:13:37.187000000,2015-09-25 08:58:54.867000000,2015-11-10 15:15:13.230000000
11159,2015-09-25 15:52:11.160000000,UCF_WAREHOUSE_QA,4,dbo.config,coreRevision,v4.7.7,Source control revision for core repository,6,,,2015-09-25 15:52:11.160000000,UCF,QA,2015-09-25 15:52:11.160000000,2015-09-25 15:56:40.473000000,2015-11-10 15:15:13.230000000
