name,type,start_time,end_date,job_complete,run_days,run_hours,run_minutes,last_step_name,last_step_id,last_step_date,ENV,CLIENT,entry_timestamp,updated_timestamp
BIDCO Nightly Job PRD,job duration history,,,4,12/17/2015,17:57:15,35608,Failed,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,5,12/17/2015,13:32:05,453918,Success,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,6,12/16/2015,19:55:05,40554,Failed,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,7,12/15/2015,11:20:32,14108,Success,,,PRD,BIDCO,,
BIDCO Nightly Job PRD,job duration history,,,8,12/15/2015,4:47:41,392101,Success,,,PRD,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,1,12/20/2015,21:05:03,55737,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,2,12/19/2015,19:38:13,71442,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,3,12/18/2015,13:59:19,35800,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,4,12/17/2015,13:23:03,92047,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,5,12/16/2015,8:55:05,41003,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,6,12/15/2015,17:49:00,21121,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,7,12/14/2015,15:55:53,23631,Failed,,,QA,BIDCO,,
BIDCO Nightly Job QA,job duration history,,,8,12/13/2015,14:24:19,25324,Failed,,,QA,BIDCO,,
CCCN Nightly Job QA,job duration history,,,1,12/20/2015,14:56:18,124125,Failed,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,2,12/19/2015,0:52:03,54129,Failed,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,3,12/18/2015,16:39:20,82136,Success,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,4,12/17/2015,12:04:42,85157,Failed,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,5,12/17/2015,23:14:46,115301,Success,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,6,12/16/2015,16:11:21,113302,Failed,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,7,12/15/2015,10:03:38,111028,Failed,,,QA,CCCN,,
CCCN Nightly Job QA,job duration history,,,8,12/14/2015,11:07:21,83458,Success,,,QA,CCCN,,
CHPW Nightly Job PRD,job duration history,,,1,12/19/2015,13:08:20,95712,Failed,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,2,12/17/2015,22:19:32,243800,Success,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,3,12/16/2015,21:51:12,120354,Success,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,4,12/15/2015,7:55:01,113307,Success,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,5,12/14/2015,16:32:42,141244,Success,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,6,12/13/2015,5:06:17,181907,Failed,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,7,12/20/2015,35:49:34,114904,Failed,,,PRD,CHPW,,
CHPW Nightly Job PRD,job duration history,,,8,12/20/2015,12:23:03,120000,Success,,,PRD,CHPW,,
CHPW Nightly Job UAT,job duration history,,,1,8/21/2015,21:04:40,194600,Failed,,,UAT,CHPW,,
CHPW Nightly Job UAT,job duration history,,,2,12/20/2015,12:30:08,335504,Cancelled,,,UAT,CHPW,,
CHPW Nightly Job UAT,job duration history,,,3,12/19/2015,0:01:19,70646,Failed,,,UAT,CHPW,,
CHPW Nightly Job UAT,job duration history,,,4,12/18/2015,1:42:10,140051,Cancelled,,,UAT,CHPW,,
ACP Nightly Job PRD,job duration history,,,1,12/17/2015,12:11:27,21,Cancelled,,,PRD,ACP,,
ACP Nightly Job PRD,job duration history,,,2,12/16/2015,0:33:38,1547,Failed,,,PRD,ACP,,
ACP Nightly Job PRD,job duration history,,,3,12/15/2015,1:02:38,206,Success,,,PRD,ACP,,
AHP Nightly Job PRD,job duration history,,,1,12/14/2015,2:15:49,25051,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,2,12/13/2015,10:07:01,191212,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,3,12/20/2015,9:12:04,21716,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,4,12/19/2015,4:20:50,41747,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,5,12/18/2015,21:06:05,21644,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,6,12/17/2015,0:26:05,22541,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,7,12/17/2015,105:59:24,33251,Success,,,PRD,AHP,,
AHP Nightly Job PRD,job duration history,,,8,12/16/2015,77:36:21,45409,Success,,,PRD,AHP,,
AHP Nightly Job QA,job duration history,,,1,12/16/2015,0:21:30,62924,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,2,12/15/2015,4:46:55,62651,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,3,12/19/2015,6:26:34,61525,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,4,12/18/2015,9:39:03,70119,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,5,12/16/2015,9:39:55,81824,Success,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,6,12/12/2015,10:31:41,51649,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,7,12/9/2015,52:54:10,132506,Failed,,,QA,AHP,,
AHP Nightly Job QA,job duration history,,,8,12/8/2015,10:25:57,43126,Failed,,,QA,AHP,,
ARCAS Nightly Job DEV,job duration history,,,1,12/5/2015,11:15:24,61930,Cancelled,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,2,12/4/2015,11:51:28,102747,Success,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,3,12/18/2015,2:25:05,135636,Success,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,4,12/17/2015,16:06:08,125044,Failed,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,5,12/14/2015,13:36:23,230259,Success,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,6,12/11/2015,14:31:20,135004,Failed,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,7,12/11/2015,1:29:57,101238,Success,,,DEV,ARCAS,,
ARCAS Nightly Job DEV,job duration history,,,8,12/11/2015,27:37:03,91735,Failed,,,DEV,ARCAS,,
CCCN Nightly Job DEV,job duration history,,,1,12/11/2015,4:19:38,54416,Failed,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,2,12/10/2015,26:16:14,82409,Cancelled,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,3,12/19/2015,2:23:34,61336,Success,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,4,12/18/2015,0:37:09,54852,Cancelled,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,5,12/17/2015,5:18:36,109,Cancelled,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,6,12/17/2015,3:56:08,63932,Cancelled,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,7,12/11/2015,45:39:18,203758,Failed,,,DEV,CCCN,,
CCCN Nightly Job DEV,job duration history,,,8,12/11/2015,4:05:54,25503,Cancelled,,,DEV,CCCN,,
CCCN Nightly Job PRD,job duration history,,,1,12/3/2015,1:41:08,175715,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,2,11/19/2015,39:21:01,133205,Success,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,3,12/20/2015,5:57:37,195505,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,4,12/19/2015,7:14:42,112032,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,5,12/18/2015,3:58:00,44741,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,6,12/17/2015,9:20:47,210503,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,7,12/16/2015,4:10:03,193813,Failed,,,PRD,CCCN,,
CCCN Nightly Job PRD,job duration history,,,8,12/15/2015,2:11:21,135919,Failed,,,PRD,CCCN,,
CCCN Nightly Job UAT,job duration history,,,1,12/14/2015,2:36:31,132303,Failed,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,2,12/13/2015,2:53:24,85505,Cancelled,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,3,12/17/2015,12:41:25,174900,Failed,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,4,12/16/2015,5:41:29,155553,Success,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,5,12/15/2015,8:21:36,142419,Failed,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,6,12/14/2015,11:53:01,145618,Cancelled,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,7,12/13/2015,8:51:57,5203,Failed,,,UAT,CCCN,,
CCCN Nightly Job UAT,job duration history,,,8,12/12/2015,11:33:02,163920,Success,,,UAT,CCCN,,
CHPW Nightly Job DEV,job duration history,,,1,12/11/2015,11:10:28,120442,Success,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,2,12/9/2015,8:34:58,231446,Failed,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,3,12/20/2015,9:57:12,161121,Failed,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,4,12/19/2015,24:38:00,100338,Success,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,5,12/18/2015,12:03:54,110721,Success,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,6,12/12/2015,11:33:07,130820,Success,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,7,12/11/2015,14:12:44,221932,Success,,,DEV,CHPW,,
CHPW Nightly Job DEV,job duration history,,,8,12/16/2015,18:19:07,215112,Success,,,DEV,CHPW,,
CHPW Nightly Job QA,job duration history,,,1,12/13/2015,11:49:04,75501,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,2,12/12/2015,12:00:00,163242,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,3,12/11/2015,19:46:00,50617,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,4,12/10/2015,33:55:04,354934,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,5,12/8/2015,7:06:46,122303,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,6,12/6/2015,14:00:51,210440,Cancelled,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,7,12/5/2015,12:23:03,212318,Failed,,,QA,CHPW,,
CHPW Nightly Job QA,job duration history,,,8,12/20/2015,18:02:27,81233,Failed,,,QA,CHPW,,
FHN Nightly Job PRD,job duration history,,,1,12/19/2015,24:39:10,110411,Cancelled,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,2,12/18/2015,5:51:07,314540,Failed,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,3,12/17/2015,5:33:16,214847,Failed,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,4,12/16/2015,14:32:01,155510,Failed,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,5,12/12/2015,6:52:17,233812,Failed,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,6,12/11/2015,11:27:57,54504,Success,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,7,12/10/2015,12:40:34,55054,Success,,,PRD,FHN,,
FHN Nightly Job PRD,job duration history,,,8,12/17/2015,27:49:00,111121,Success,,,PRD,FHN,,
LHCQF Nightly Job QA,job duration history,,,1,12/16/2015,12:05:49,45509,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,2,12/14/2015,10:44:34,44514,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,3,12/10/2015,0:52:46,51248,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,4,12/9/2015,0:27:26,65708,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,5,12/4/2015,0:21:48,22706,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,6,12/2/2015,77:36:05,40252,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,7,12/1/2015,27:42:31,31530,Failed,,,QA,LHCQF,,
LHCQF Nightly Job QA,job duration history,,,8,12/20/2015,4:17:01,33253,Failed,,,QA,LHCQF,,
SLVTN Nightly Job PRD,job duration history,,,1,12/19/2015,10:29:16,372135,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,2,12/18/2015,2:05:16,35955,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,3,12/17/2015,3:07:21,40807,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,4,12/16/2015,3:16:20,44159,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,5,12/15/2015,5:08:20,43222,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,6,12/14/2015,2:59:18,602348,Success,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,7,12/13/2015,2:33:26,51559,Failed,,,PRD,SLVTN,,
SLVTN Nightly Job PRD,job duration history,,,8,12/20/2015,2:49:22,35146,Failed,,,PRD,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,1,12/19/2015,4:04:59,63204,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,2,12/18/2015,5:48:06,74505,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,3,12/17/2015,2:20:25,91312,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,4,12/16/2015,2:43:14,51714,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,5,12/15/2015,3:23:56,54404,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,6,12/14/2015,3:21:37,311805,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,7,12/13/2015,3:07:26,40326,Success,,,QA,SLVTN,,
SLVTN Nightly Job QA,job duration history,,,8,12/18/2015,7:30:29,43545,Success,,,QA,SLVTN,,
UCF Nightly Job PRD,job duration history,,,1,12/18/2015,3:26:34,10832,Success,,,PRD,UCF,,
UCF Nightly Job PRD,job duration history,,,2,12/18/2015,2:29:03,24229,Success,,,PRD,UCF,,
UCF Nightly Job PRD,job duration history,,,3,12/17/2015,0:06:47,21618,Success,,,PRD,UCF,,
